work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,working_overseas
2022,Expert,Full-time,Data Engineer,154545,United States,No remote work,United States,Large,False
2022,Junior,Full-time,AI Scientist,50000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist Lead,183000,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Analyst,99750,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Analyst,68400,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,236900,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Scientist,159200,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Science Manager,243225,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Science Manager,179775,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,175000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,150000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,210000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,180000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,148000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,128000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Architect,190000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Architect,135000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,130000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,110000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,160000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,85000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,218000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,145300,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,ML Engineer,195400,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,ML Engineer,131300,United States,Fully remote,United States,Large,False
2022,Junior,Full-time,Data Specialist,105000,Chile,Fully remote,United States,Large,True
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,207000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,153000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Analyst,110000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Analyst,99000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,200000,Puerto Rico,Fully remote,Puerto Rico,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,135000,Puerto Rico,Fully remote,Puerto Rico,Medium,False
2022,Expert,Full-time,Data Scientist,207000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,153000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,195700,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,130500,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,ML Engineer,130000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,ML Engineer,84000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Operations Engineer,100000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Operations Engineer,60000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Engineer,81119,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Intermediate,Full-time,Data Engineer,68639,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Expert,Full-time,Data Engineer,141300,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,102100,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Analyst,50826,Spain,No remote work,Spain,Medium,False
2022,Expert,Full-time,Data Analyst,37061,Spain,No remote work,Spain,Medium,False
2022,Intermediate,Full-time,Business Data Analyst,150000,United States,Fully remote,United States,Large,False
2022,Intermediate,Full-time,Data Scientist,103583,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Junior,Full-time,Data Scientist,23199,India,Partially remote,India,Medium,False
2022,Expert,Full-time,Data Analyst,144000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Analyst,113000,United States,Fully remote,United States,Medium,False
2022,Junior,Full-time,AI Scientist,31766,Portugal,Fully remote,Spain,Medium,True
2022,Expert,Full-time,Data Architect,195400,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Architect,131300,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Machine Learning Engineer,195400,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Machine Learning Engineer,131300,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Architect,195400,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Architect,131300,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Architect,190000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Architect,135000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,135000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,80000,United States,Fully remote,United States,Medium,False
2022,Junior,Full-time,BI Data Analyst,8158,India,Fully remote,India,Medium,False
2022,Expert,Full-time,Data Engineer,160000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,85000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,178800,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Engineer,132100,United States,Fully remote,United States,Large,False
2022,Intermediate,Contract,NLP Engineer,60000,India,Fully remote,United States,Small,True
2022,Expert,Full-time,Machine Learning Engineer,63533,Finland,Partially remote,Finland,Small,False
2022,Junior,Full-time,Business Data Analyst,50000,India,Fully remote,American Samoa,Large,True
2022,Expert,Full-time,Data Engineer,140000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,105000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Engineer,81119,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Intermediate,Full-time,Data Engineer,68639,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Expert,Full-time,Analytics Engineer,190000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,140000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Operations Engineer,100000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Operations Engineer,60000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,180000,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Scientist,165000,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Applied Machine Learning Scientist,108000,United States,No remote work,United States,Large,False
2021,Junior,Full-time,Machine Learning Research Engineer,20000,France,Partially remote,France,Medium,False
2022,Expert,Full-time,Data Architect,190000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Architect,135000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,179400,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,154000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Machine Learning Scientist,193900,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Machine Learning Scientist,129300,United States,No remote work,United States,Medium,False
2022,Director,Full-time,Data Science Manager,222640,United States,No remote work,United States,Medium,False
2022,Director,Full-time,Data Science Manager,182160,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Engineer,150000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Engineer,100000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,122500,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,100000,United States,Fully remote,United States,Medium,False
2022,Director,Full-time,Data Engineer,297500,United States,Fully remote,United States,Medium,False
2022,Director,Full-time,Data Engineer,260000,United States,Fully remote,United States,Medium,False
2021,Junior,Full-time,Machine Learning Developer,15000,Thailand,Fully remote,Thailand,Large,False
2022,Expert,Full-time,Data Engineering Manager,193000,Spain,Fully remote,United States,Medium,True
2022,Junior,Full-time,Data Scientist,93000,United States,No remote work,United States,Medium,False
2022,Junior,Full-time,Data Scientist,73000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Operations Engineer,100000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Operations Engineer,60000,United States,Fully remote,United States,Medium,False
2022,Junior,Full-time,Data Analyst,7844,Brazil,Fully remote,Brazil,Large,False
2022,Expert,Full-time,Data Scientist,136994,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,101570,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,ETL Developer,250000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,ETL Developer,63000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Manager,134000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Manager,98000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Director of Data Science,58238,France,Partially remote,France,Large,False
2022,Intermediate,Full-time,Data Analyst,136000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Analyst,112000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,172000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,140000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,215000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,164000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,300000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,130000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,250000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,63000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,180000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,150000,United States,Fully remote,United States,Medium,False
2021,Junior,Full-time,Data Engineer,45390,United Kingdom,Partially remote,United Kingdom,Large,False
2022,Expert,Full-time,Data Engineer,250000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,63000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Analyst,97500,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Applied Scientist,212800,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Applied Scientist,142800,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,74122,Netherlands,Partially remote,Netherlands,Large,False
2022,Junior,Full-time,Data Scientist,50000,United States,Partially remote,Germany,Medium,True
2022,Junior,Full-time,Data Analyst,6444,France,Fully remote,India,Large,True
2022,Expert,Full-time,Data Scientist,151800,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,130240,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,165000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,140250,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,135000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,115000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,179400,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,154000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Financial Data Analyst,75000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Engineer,84711,Greece,Fully remote,Greece,Medium,False
2022,Intermediate,Full-time,Data Engineer,74122,Greece,Fully remote,Greece,Medium,False
2022,Intermediate,Full-time,Data Engineer,99839,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Intermediate,Full-time,Data Engineer,87359,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Intermediate,Full-time,Data Engineer,84711,Spain,Fully remote,Spain,Medium,False
2022,Intermediate,Full-time,Data Engineer,74122,Spain,Fully remote,Spain,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,104052,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Expert,Full-time,Analytics Engineer,81124,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,106027,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Expert,Full-time,Data Engineer,83393,United Kingdom,Fully remote,United Kingdom,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Analyst,115000,United States,No remote work,United States,Large,False
2022,Junior,Full-time,Data Scientist,31766,Spain,Partially remote,Spain,Medium,False
2022,Expert,Full-time,Data Operations Analyst,81000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Operations Analyst,66000,United States,Fully remote,United States,Medium,False
2022,Junior,Full-time,Data Analyst,46000,United States,Fully remote,United States,Large,False
2022,Junior,Full-time,Data Engineer,80000,United States,Fully remote,United States,Large,False
2022,Director,Full-time,Machine Learning Scientist,200000,United States,Fully remote,United States,Small,False
2022,Director,Full-time,Machine Learning Scientist,180000,United States,Fully remote,United States,Small,False
2022,Director,Full-time,AI Scientist,200000,United States,Fully remote,United States,Small,False
2022,Expert,Full-time,Data Scientist,204100,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,136100,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,250000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,63000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,119807,United Kingdom,No remote work,United Kingdom,Medium,False
2022,Intermediate,Full-time,Data Scientist,112319,United Kingdom,No remote work,United Kingdom,Medium,False
2021,Junior,Part-time,Computer Vision Software Engineer,19073,Denmark,Partially remote,Denmark,Large,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Specialist,95000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Specialist,70000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Applied Machine Learning Scientist,75000,Bolivia,Fully remote,United States,Medium,True
2022,Intermediate,Contract,Analytics Engineer,7500,Bolivia,Partially remote,Bolivia,Medium,False
2022,Intermediate,Full-time,Data Analyst,113000,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Scientist,170000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,130000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Analytics Consultant,113000,United States,Fully remote,United States,Large,False
2022,Intermediate,Full-time,Product Data Analyst,140000,United States,Fully remote,United States,Medium,False
2021,Expert,Full-time,Data Analyst,50000,Philippines,Fully remote,Philippines,Small,False
2022,Intermediate,Full-time,BI Data Analyst,54218,Australia,Fully remote,Australia,Medium,False
2022,Expert,Full-time,Data Scientist,175000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,140000,United States,No remote work,United States,Medium,False
2022,Junior,Full-time,3D Computer Vision Researcher,2324,Aland Islands,No remote work,Albania,Large,True
2022,Expert,Full-time,Lead Data Scientist,30178,Portugal,Partially remote,Portugal,Small,False
2022,Expert,Full-time,Analytics Engineer,250000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,63000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,160000,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Scientist,119300,United States,No remote work,United States,Large,False
2022,Intermediate,Full-time,Research Scientist,145000,United States,Partially remote,United States,Large,False
2022,Expert,Full-time,Data Engineer,105000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,90000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,ETL Developer,146200,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,ETL Developer,124270,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,225000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,160000,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,55062,Netherlands,Fully remote,Netherlands,Small,False
2022,Expert,Full-time,Data Engineer,185800,Canada,Fully remote,Canada,Medium,False
2022,Expert,Full-time,Data Engineer,137400,Canada,Fully remote,Canada,Medium,False
2022,Expert,Full-time,Analytics Engineer,245000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,180000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,203500,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,152000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,250000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,63000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Machine Learning Infrastructure Engineer,186000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Infrastructure Engineer,148800,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Lead Machine Learning Engineer,96662,India,Partially remote,India,Large,False
2022,Intermediate,Full-time,Machine Learning Engineer,129791,United Kingdom,Partially remote,United Kingdom,Large,False
2022,Junior,Full-time,Data Scientist,82000,United States,No remote work,United States,Large,False
2022,Junior,Part-time,Data Scientist,110000,Dominican Republic,Fully remote,France,Medium,True
2022,Intermediate,Full-time,Applied Machine Learning Scientist,173000,United States,Partially remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,203500,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,152000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,186000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,148800,United States,Fully remote,United States,Medium,False
2022,Junior,Full-time,BI Data Analyst,6306,Brazil,Fully remote,Brazil,Large,False
2022,Intermediate,Full-time,Data Science Manager,158000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Science Manager,134000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,170000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,120000,United States,Fully remote,United States,Medium,False
2022,Director,Full-time,Analytics Engineer,200000,United States,Fully remote,United States,Medium,False
2022,Director,Full-time,Analytics Engineer,150000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Analyst,216200,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Analyst,144100,United States,No remote work,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,116477,Netherlands,No remote work,Netherlands,Medium,False
2022,Intermediate,Full-time,Data Scientist,90005,Netherlands,No remote work,Netherlands,Medium,False
2022,Expert,Full-time,ETL Developer,250000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,ETL Developer,63000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,135000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,85000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,135000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,85000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Science Manager,206000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Science Manager,175100,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,189650,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,164996,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Architect,149040,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Architect,113900,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,154000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,126000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,200000,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Machine Learning Engineer,150000,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Engineer,195700,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,130500,United States,No remote work,United States,Medium,False
